,,,,,   ,,,,,,,,,,,,,,,
,,SKU,NOM,PVP HT,Catégorie
,,SD49216DB-HNY,2MP 16x Starlight IR Network PTZ Camera,3750.00,"Caméra PTZ, Caméra"
,,NVR4216-16P-EI,16CH 1U 16PoE 2HDDs WizSense Network Video Recorder,3750.00,"NVR, Vidéosurveillance"
,,NVR4432-16P-EI,32CH 1.5U 16PoE 4HDDs WizSense Network Video Recorder,6750.00,"NVR, Vidéosurveillance"
,,NVR4232-16P-EI,32CH 1U 16PoE 2HDDs WizSense Network Video Recorder,4860.00,"NVR, Vidéosurveillance"
,,NVR1108HS-8P-S3/H,8 Channel Compact 1U 8PoE Lite H.265 Network Video Recorder,1290.00,"NVR, Vidéosurveillance"
,,VTO6521F,IP Apartment Door Station,4320.00,"Plaque de rue, Vidéophonie"
,,NVR2216-4KS3,Enregistreur vidéo réseau Lite 16 canaux 1U 2 disques durs,1950.00,"NVR, Vidéosurveillance"
,,SD49825GB-HNR,8MP 25x Starlight IR Network PTZ Camera,7350.00,"Caméra PTZ, Caméra"
,,NVR4216-EI,16CH 1U 2HDDs WizSense Network Video Recorder,2160.00,"NVR, Vidéosurveillance"
,,SD49425DB-HNY,4MP 25x Starlight IR 4G Network PTZ Camera,5100.00,"Caméra PTZ, Caméra"
,,SDT4E425-4F-GB-A-PV1-0400,X-Spans 4MP+4MP 25x TiOC WizSense Network PTZ Camera,7500.00,"Caméra PTZ, Caméra"
,,NVR2116HS-4KS3,16CH Compact 1U 1HDD Lite Network Video Recorder,1290.00,"NVR, Vidéosurveillance"
,,XVR5216AN-4KL-I3,16CH Penta-brid 4K Value/5MP 1U 2HDDs WizSense Digital Video Recorder,3750.00,"XVR, Vidéosurveillance"
,,ASI6214S,Contrôleur d'accès à reconnaissance faciale,2100.00,"Lecteur biométrique, Lecteur"
,,IPC-HFW2541T-ZS-27135,5MP IR Vari-focal Bullet WizSense Network Camera,1950.00,"Caméras IP, caméra"
,,IPC-HFW2541TP-ZAS-27135,5MP IR Vari-focal Bullet WizSense Network Camera,1875.00,"Caméras IP, caméra"
,,KTP05(F),Video Intercom KIT,3600.00,"Kit Villa, Vidéosurveillance"
,,HAC-ME1809TQP-A-PV-0280B,4K Smart Dual Light TiOC HDCVI Eyeball Camera,900.00,"Caméra analogique, Caméra "
,,NVR2216-16P-4KS3,16CH 1U 16PoE 2HDDs Lite Network Video Recorder,3000.00,"NVR, Vidéosurveillance"
,,IPC-HFW2241T-ZAS,2M IP VARIFOCAL audio intégré,1650.00,"Caméras IP, caméra"
,,IPC-HFW1839TCP-A-IL-0280B,Bullet 8M Audio dual light,1200.00,"Caméras IP, caméra"
,,IPC-HDW1839TP-A-IL-0280B,Dome 8M Audio dual light,1200.00,"Caméras IP, caméra"
,,SD1A204DB-GNY,2MP 4x Starlight IR WizSense Network PTZ Camera,1737.00,"Caméra PTZ, Caméra"
,,SD1A404DB-GNY,4MP 4x Starlight IR WizSense Network PTZ Camera,1950.00,"Caméra PTZ, Caméra"
,,HAC-HDW1200TRQP-A-0280B,Caméra Dome fixe IR 2 MP Audio,292.50,"Caméra analogique, Caméra "
,,SD2A200HB-GN-AW-PV-0400,2MP Full-color Network PT Camera,900.00,"Caméra PTZ, Caméra"
,,NVR4232-EI,32CH 1U 2HDDs WizSense Network Video Recorder,3000.00,"NVR, Vidéosurveillance"
,,HAC-ME1809THP-A-PV-0280B,4K HDCVI Full-Color Active Deterrence Fixed Eyeball Camera Audio,900.00,"Caméra analogique, Caméra "
,,IPC-HFW2841TP-ZS-27135,8MP IR Vari-focal Bullet WizSense Network Camera,2175.00,"Caméras IP, caméra"
,,SD49225DB-HNY,2MP 25x Starlight IR Network PTZ Camera,4200.00,"Caméra PTZ, Caméra"
,,NVR2204-P-4KS3,4CH 1U 4PoE 2HDDs Lite Network Video Recorder,1710.00,"NVR, Vidéosurveillance"
,,IPC-HDBW1430EP-0280B-S5,4MP WDR IR Mini-Dome Network Camera,660.00,"Caméras IP, caméra"
,,IPC-HDW2549TP-S-IL-0280B,5MP Smart Dual Light Fixed-focal Eyeball WizSense Network Camera,1260.00,"Caméras IP, caméra"
,,HAC-HFW1801THP-I8-0360,Caméra Compacte HDCVI IR 4K Bullet 8M 80IR,705.00,"Caméra analogique, Caméra "
,,SD49425DB-HNY-GQ-EAU,4MP 25x Starlight IR 4G Network PTZ Camera,9600.00,"Caméra PTZ, Caméra"
,,IPC-HDBW2841EP-S-0280B,Caméra IP DAHUA Dôme 8MP + IR 30m,1350.00,"Caméras IP, caméra"
,,XVR5216AN-I3,16CH Penta-brid 5MP Value/1080P 1U 2HDDs WizSense Digital Video Recorder,2790.00,"XVR, Vidéosurveillance"
,,NVR4432-EI,32CH 1.5U 4HDDs WizSense Network Video Recorder,5700.00,"NVR, Vidéosurveillance"
,,IPC-HDBW2541RP-ZAS-27135,Caméra réseau WizSense à dôme à focale variable IR 5 MP,2100.00,"Caméras IP, caméra"
,,IPC-HDBW2541RP-ZAS-27135,5MP IR Vari-focal Dome WizSense Network Camera,2100.00,"Caméras IP, caméra"
,,HAC-PT1509AP-A-LED-0280B,MP Full-color HDCVI Fixed-focal PT Camera,900.00,"Caméra analogique, Caméra "
,,IPC-HFW1431T1P-ZS-2812-S4,Caméra réseau Bullet IR varifocale d'entrée 4MP,1323.00,"Caméras IP, caméra"
,,HAC-HFW1801TLMP-IL-A-0280B,4K Smart Dual Light HDCVI Fixed-focal Bullet Camera,657.00,"Caméra analogique, Caméra "
,,SD2A500HB-GN-AW-PV-0400-S2,5MP Full-color Network PT Camera,1290.00,"Caméra PTZ, Caméra"
,,VTH2621G-WP,"IP Indoor Monitor 7"" TFT capacitive touch screen, 1024 × 6",1063.50,"Moniteur, Vidéophonie"
,,IPC-HDW1439VP-A-IL-0280B,Dome 4M Audio Dual light,810.00,"Caméras IP, caméra"
,,IPC-HFW1430S1P-A-0280B-S5,Bullet 4M Fix Audio,660.00,"Caméras IP, caméra"
,,NVR1104HS-P-S3/H,4 Channel Compact 1U 1HDD Lite H.265 Network Video Recorder,960.00,"NVR, Vidéosurveillance"
,,IPC-HDBW2841RP-ZAS-27135,8MP IR Vari-focal Dome WizSense Network Camera,2520.00,"Caméras IP, caméra"
,,IPC-HFW1439TL1P-A-IL-0280B,Bullet 4M Fix Audio Dual Light,810.00,"Caméras IP, caméra"
,,SD3C205DB-GNY-A-PV,2MP 5x Smart Dual Light WizSense Network PTZ Camera,1917.00,"Caméra PTZ, Caméra"
,,SD3C405DB-GNY-A-PV,4MP 5x Smart Dual Light WizSense Network PTZ Camera,2160.00,"Caméra PTZ, Caméra"
,,IPC-HDBW2541RP-ZS-27135,5MP IR Vari-focal Dome WizSense Network Camera,1950.00,"Caméras IP, caméra"
,,IPC-HFW2841TP-ZAS-27135,Caméra Bullet Réseau IR Lite Varifocale 8 mégapixels,2520.00,"Caméras IP, caméra"
,,IPC-HDBW2841RP-ZS-27135,Caméra Dome Réseau IR Lite Varifocale 8 mégapixels,2340.00,"Caméras IP, caméra"
,,XVR1B16-I, 4 Channel 1080N/720p Cooper 1U 1HDD WizSense ,1057.50,"XVR, Vidéosurveillance"
,,XVR5108HS-4KL-I3,8CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder,1867.50,"XVR, Vidéosurveillance"
,,XVR5116HS-I3,16 Channel 5M-N/1080P Compact 1U WizSense,1935.00,"XVR, Vidéosurveillance"
,,IPC-HDBW1230RP-ZS-2812-S5-QH,2MP Entry IR Vari-focal Dome Netwok Camera,1080.00,"Caméras IP, caméra"
,,XVR5104HS-4KL-I3,4CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder,1132.50,"XVR, Vidéosurveillance"
,,XVR5116H-4KL-I3,16CH Penta-brid 4K Value/5MP Mini 1U 1HDD WizSense Digital Video Recorder,3150.00,"XVR, Vidéosurveillance"
,,IPC-HFW1439S1P-LED-0280B,4MP Entry Full-color Fixed-focal Bullet Network Camera,780.00,"Caméras IP, caméra"
,,PFA130-E,Water-proof Junction Box,135.00,"Boîte de jonction, Accessoire Vidéosurveillance"
,,HAC-HFW1801TP-A-0280B,4K Starlight HDCVI Fixed IR Bullet Camera,558.00,"Caméra analogique, Caméra "
,,HAC-HDW1801TP-IL-A-0280B,4K Smart Dual Illuminators HDCVI Fixed-focal Eyeball Camera,657.00,"Caméra analogique, Caméra "
,,IPC-HFW1230T1P-ZS-2812-S5-QH,2MP Entry IR Vari-focal Bullet Netwok Camera,1050.00,"Caméras IP, caméra"
,,HAC-HDW1209TLQP-LED-0280B,2MP Full-color HDCVI Quick-to-install Eyeball Camera,262.50,"Caméra analogique, Caméra "
,,IPC-HDBW1431RP-ZS-2812,4MP Entry IR Vari-focal Dome Network Camera,1350.00,"Caméras IP, caméra"
,,IPC-HDW1439T1P-LED-0280B,4 MP Entry Full-color Fixed-focal Eyeball Network Camera,780.00,"Caméras IP, caméra"
,,IPC-HFW1639TCP-A-IL-0280B,6MP Entry Smart Dual Light Fixed-focal Bullet Network Camera,900.00,"Caméras IP, caméra"
,,IPC-HDW1639TP-A-IL-0280B,6MP Entry Smart Dual Light Fixed-focal Dome Network Camera,900.00,"Caméras IP, caméra"
,,XVR5108HS-I3,8CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder,1185.00,"XVR, Vidéosurveillance"
,,XVR5104HS-I3,4CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder,787.50,"XVR, Vidéosurveillance"
,,HAC-HFW1509CP-A-LED-0280B,5MP Full-color HDCVI Fixed-focal Bullet Camera,385.00,"Caméra analogique, Caméra "
,,HAC-HDW1801TLQP-A-0280B,4K Starlight HDCVI Fixed IR Quick-to-install Eyeball Camera,558.00,"Caméra analogique, Caméra "
,,IPC-HFW1230S1P-A-0280B,2MP Entry IR Fixed-Focal Bullet Netwok Camera,480.00,"Caméras IP, caméra"
,,HAC-HFW1801TP-0280B,4K Starlight HDCVI Fixed IR Bullet Camera WDR,513.00,"Caméra analogique, Caméra "
,,HAC-HDW1500TLMQP-0280B,5MP DOME Starlight HDCVI Quick-to-install,375.00,"Caméra analogique, Caméra "
,,XVR1B04-I,4CH Penta-brid 1080N/720P Cooper 1U 1HDD WizSense Digital Video Recorder,495.00,"XVR, Vidéosurveillance"
,,XVR1B04H-I,4CH Penta-brid 5MP Value/1080P Cooper 1U 1HDD WizSense Digital Video Recorder,645.00,"XVR, Vidéosurveillance"
,,XVR1B08H-I,8CH Penta-brid 5MP Value/1080P Cooper 1U 1HDD WizSense Digital Video Recorder,1020.00,"XVR, Vidéosurveillance"
,,HAC-HFW1500TLMP-IL-A-0280B,5MP Smart Dual Light HDCVI Fixed-focal Bullet,450.00,"Caméra analogique, Caméra "
,,HAC-HFW1500TP-0280B,5MP Starlight HDCVI IR Bullet Camera,375.00,"Caméra analogique, Caméra "
,,HAC-HDW1801TLQP-0280B,4K Starlight HDCVI Fixed IR Quick-to-install Eyeball Camera,513.00,"Caméra analogique, Caméra "
,,IPC-HFW1530SP-0280B,5MP Entry IR Fixed-focal Bullet Network Camera,780.00,"Caméras IP, caméra"
,,XVR1B08-I,8Ch Penta-brid 1080N/720p Cooper 1U 1HDD WizSense,645.00,"XVR, Vidéosurveillance"
,,HAC-HDW1500TLMP-IL-A-0280B,5MP Smart Dual Light HDCVI Fixed-focal Eyeball Camera,450.00,"Caméra analogique, Caméra "
,,XVR1B16H-I,16 Channels Penta-brid 5M-N/1080P Compact 1U 1HDD WizSense Digital Video Recorder,1800.00,"XVR, Vidéosurveillance"
,,HAC-B2A21P-U-0280B,2MP IR HDCVI Fixed-focal Bullet Camera,165.00,"Caméra analogique, Caméra "
,,HAC-T2A21P-U-0280B,2MP IR HDCVI Fixed-focal Eyeball Camera,165.00,"Caméra analogique, Caméra "
,,HAC-B2A51P-U-0280B,5MP IR HDCVI Fixed-focal Bullet Camera,270.00,"Caméra analogique, Caméra "
,,HAC-T2A51P-U-0280B,5MP IR HDCVI Fixed-focal Eyeball Camera,270.00,"Caméra analogique, Caméra "
