REF,Photo,1,Code,REFERENCE VISULS BIS,Nom article,Désignation,Matières,Durée de garantie,poids brut des colis (kg),EAN AVEC LES PACK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ean colis 1,ean colis2,ean colis 3,Dimension Matelas  ,NB RESSORTS,INDICE DE FERMETE,descriptif produit,Nbre de colis,Poids net du produit (kg),poids brut des colis (kg),Dimension du produit en cm,Dimension des colis,Longueur Colis 1,Largeur colis 1,Hauteur colis 1,Longueur Colis 2,Largeur colis 2,Hauteur colis 2,Longueur Colis 3,Largeur colis 3,Hauteur colis 3,Poids colis 1,Poids colis 2,Poids colis 3,QUANTITES EN STOCK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ecopart non incluse,prix avec ecopart,coût transport drop HT,Code
2173,,,Ensemble Chambourcy 160 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,098.00 € ",3760260155512," 3,760,260,151,989    ",,160X 200,PAS DE RESSORTS,4/5,,2,,,"160*200*
24/
160*200*
15",165**35*35 /165*205*20,165,35,35,200,160,15,,,,23,31,,," 2,098.00 € ",20.08,#REF!,69.90,Ensemble Chambourcy 160 X 200
2174,,,Ensemble Chambourcy (2x80) X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,227.00 € ",3760260155512," 3,760,260,151,934    "," 3,760,260,151,934    ",(2x80)X 200,PAS DE RESSORTS,4/5,,3,,,"160*200*
24/
2*(80*200
*15)",165*35*35 /85*205*20/   85*205*20,165,35,35,200,80,15,200,80,15,23,16,16,," 2,227.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2x80) X 200
2175,,,Ensemble Chambourcy (2X90) 180 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,467.00 € ",3760260155505," 3,760,260,151,958    "," 3,760,260,151,958    ",(2X90)180 X 200,PAS DE RESSORTS,4/5,,3,,,"180*200*
24 /
2*(90*200
*15)",185**35*35 /95*205*20/   95*205*20,185,35,35,200,90,15,200,90,15,26,17.5,17.5,," 2,467.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2X90) 180 X 200
2176,,,Ensemble Chambourcy (2X100) X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,708.00 € ",3760260155499," 3,760,260,152,016    "," 3,760,260,152,016    ",(2X100) X 200,PAS DE RESSORTS,4/5,,3,,,"200*200*
24 /
2*(100*20
0*15)",205**35*35/ 105*205*20/  105*205*20,205,35,35,200,100,15,200,100,15,28,19.5,19.5,," 2,708.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2X100) X 200
2124,,,Matelas   Versailles 80 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,14,," 1,059.00 € ",3760260155482,,,80 X 200,378,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,13,14,"80*200*2
5","85*205*3
0",85,35,35,,,,,,,13,,,6," 1,059.00 € ",4.57,#REF!,29.90,Matelas   Versailles 80 X 200
2127,,,Matelas   Versailles 90 X 190,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,16,," 1,129.00 € ",3760260155475,,,90 X 190,409,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,15,16,"90*190*2
5","95*195*3
0",95,35,35,,,,,,,15,,,4," 1,129.00 € ",4.57,#REF!,29.90,Matelas   Versailles 90 X 190
2128,,,Matelas   Versailles 90 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,16,," 1,189.00 € ",3760260155468,,,90 X 200,426,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,15,16,"90*200*2
5","95*205*3
0",95,35,35,,,,,,,15,,,4," 1,189.00 € ",4.57,#REF!,29.90,Matelas   Versailles 90 X 200
2129,,,Matelas   Versailles 140 X 190,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,22,," 1,769.00 € ",3760260155451,,,140 X 190,630,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,21,22,"140*190*
26","145*195*
30",145,35,35,,,,,,,21,,,16," 1,769.00 € ",9.17,#REF!,33.25,Matelas   Versailles 140 X 190
2130,,,Matelas   Versailles 140 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,22,," 1,859.00 € ",3760260155444,,,140 X 200,663,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,21,22,"140*200*
26","145*205*
30",145,35,35,,,,,,,21,,,4," 1,859.00 € ",9.17,#REF!,33.25,Matelas   Versailles 140 X 200
2131,,,Matelas   Versailles 160 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,24,," 2,129.00 € ",3760260155437,,,160X 200,757,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,23,24,"160*200*
26","165*205*
30",165,35,35,,,,,,,23,,,15," 2,129.00 € ",12.50,#REF!,33.25,Matelas   Versailles 160 X 200
2132,,,Matelas   Versailles 180 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,24,," 2,389.00 € ",3760260155420,,,180 X 200,850,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,26,24,"180*200*
26","185*205*
30",185,35,35,,,,,,,26,,,4," 2,389.00 € ",12.50,#REF!,33.25,Matelas   Versailles 180 X 200
2133,,,Matelas   Versailles 200 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,29,," 2,459.00 € ",3760260155413,,,200 X 200,945,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,28,29,"200*200*
26","205*205*
30",205,35,35,,,,,,,28,,,4," 2,459.00 € ",12.50,#REF!,33.25,Matelas   Versailles 200 X 200
2134,,,Ensemble Versailles 80 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,34,," 1,448.00 € ",3760260155482,3760260150142,,80 X 200,343,4/5,Sommier + Matelas  ,2,33,34,"80*200*2
6 /
80*200*1
5","85*205*3
0/85*205
*17",85,35,35,200,80,15,,,,13,20,,4," 1,448.00 € ",8.40,#REF!,59.90,Ensemble Versailles 80 X 200
2135,,,Ensemble Versailles 90 X 190,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,36,," 1,528.00 € ",3760260155475,3760260150135,,90 X 190,463,4/5,Sommier + Matelas  ,2,35,36,"90*190*2
6 /
90*190*1
5","95*195*3
0/95*195
*17",95,35,35,190,90,15,,,,15,20,,4," 1,528.00 € ",8.40,#REF!,59.90,Ensemble Versailles 90 X 190
2136,,,Ensemble Versailles 90 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,37,," 1,608.00 € ",3760260155468,3760260150128,,90 X 200,487,4/5,Sommier + Matelas  ,2,36,37,"90*200*2
6 /
90*200*1
5","95*205*3
0/95*205
*17",95,35,35,200,90,15,,,,16,20,,4," 1,608.00 € ",8.40,#REF!,59.90,Ensemble Versailles 90 X 200
2137,,,Ensemble Versailles 140 X 190,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,49,," 2,318.00 € ",3760260155451,3760260150104,,140 X 190,720,4/5,Sommier + Matelas  ,2,48,49,"140*190*
26 /
140*190*
15","145*195*
30/145*1
95*17",145,35,35,190,140,15,,,,21,27,,14," 2,318.00 € ",15.08,#REF!,69.90,Ensemble Versailles 140 X 190
2138,,,Ensemble Versailles 140 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,50,," 2,428.00 € ",3760260155444,3760260150098,,140 X 200,757,4/5,Sommier + Matelas  ,2,49,50,"140*200*
26/
140*200*
15","145*205*
30/145*2
05*17",145,35,35,200,140,15,,,,21,28,,6," 2,428.00 € ",15.08,#REF!,69.90,Ensemble Versailles 140 X 200
2139,,,Ensemble Versailles 160 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,58,," 2,778.00 € ",3760260155437,3760260150081,,160X 200,866,4/5,Sommier + Matelas  ,2,58,58,"160*200*
26/
160*200*
15","165*205*
30/165*2
05*17",165,35,35,200,160,15,,,,23,31,,10," 2,778.00 € ",20.08,#REF!,69.90,Ensemble Versailles 160 X 200
2140,,,Ensemble Versailles (2x80) X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,64,," 2,907.00 € ",3760260155437,3760260150142,3760260150142,(2x80)X 200,866,4/5,double Sommier + Matelas  ,3,63,64,"160*200*
26/
2*(80*200
*15)","165*205*
30/85*20
5*17/85*
205*17",165,35,35,200,80,15,200,80,15,23,16,16,14," 2,907.00 € ",21.16,#REF!,69.90,Ensemble Versailles (2x80) X 200
2141,,,Ensemble Versailles (2X90) 180 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,68,," 3,227.00 € ",3760260155420,3760260150128,3760260150128,(2X90)180 X 200,1080,4/5,double Sommier + Matelas  ,3,67,68,"180*200*
26 /
2*(90*200
*15)","185*205*
30/95*20
5*17/95*
205*17",185,35,35,200,90,15,200,90,15,26,17.5,17.5,10," 3,227.00 € ",21.16,#REF!,69.90,Ensemble Versailles (2X90) 180 X 200
2142,,,Ensemble Versailles (2X100) X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,74,," 3,348.00 € ",3760260155413,3760260150111,3760260150111,(2X100) X 200,1200,4/5,double Sommier + Matelas  ,3,73,74,"200*200*
26/
2*(100*20
0*15)","205*205*
30/105*2
05*17/10
5*205*17",205,35,35,200,100,15,200,100,15,28,19.5,19.5,5," 3,548.00 € ",21.16,#REF!,69.90,Ensemble Versailles (2X100) X 200
2369,,,Matelas   Renaissance 80 X 200,,Le Renaissance,Matelas  ,,5,17,," 1,299.00 € ",3760260155406,,,80 X 200,756,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,16,17,"80*200*3
0","85*205*3
5",200,80,32,,,,,,,16,,,8," 1,299.00 € ",4.57,#REF!,29.90,Matelas   Renaissance 80 X 200
2370,,,Matelas   Renaissance 90 X 190,,Le Renaissance,Matelas  ,,5,18,," 1,399.00 € ",3760260155390,,,90 X 190,818,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,17,18,"90*190*3
0","95*195*3
5",190,90,32,,,,,,,17,,,4," 1,399.00 € ",4.57,#REF!,29.90,Matelas   Renaissance 90 X 190
2371,,,Matelas   Renaissance 90 X 200,,Le Renaissance,Matelas  ,,5,18,," 1,469.00 € ",3760260155383,,,90 X 200,850,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,17,18,"90*200*3
0","95*205*3
5",200,90,32,,,,,,,17,,,4," 1,469.00 € ",4.57,#REF!,29.90,Matelas   Renaissance 90 X 200
2372,,,Matelas   Renaissance 140 X 190,,Le Renaissance,Matelas  ,,5,23,," 2,189.00 € ",3760260155376,,,140 X 190,1240,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,22,23,"140*190*
30","145*195*
35",190,140,32,,,,,,,22,,,12," 2,189.00 € ",9.17,#REF!,33.25,Matelas   Renaissance 140 X 190
2373,,,Matelas   Renaissance 140 X 200,,Le Renaissance,Matelas  ,,5,23,," 2,289.00 € ",3760260155369,,,140 X 200,1324,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,22,23,"140*200*
30","145*205*
35",200,140,32,,,,,,,22,,,6," 2,289.00 € ",9.17,#REF!,33.25,Matelas   Renaissance 140 X 200
2374,,,Matelas   Renaissance 160 X 200,,Le Renaissance,Matelas  ,,5,24,," 2,429.00 € ",3760260155352,,,160X 200,1514,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,26,24,"160*200*
30","165*205*
35",200,160,32,,,,,,,26,,,8," 2,429.00 € ",12.50,#REF!,33.25,Matelas   Renaissance 160 X 200
2375,,,Matelas   Renaissance 180 X 200,,Le Renaissance,Matelas  ,,5,29,," 2,949.00 € ",3760260155345,,,180 X 200,1700,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,28,29,"180*200*
30","185*205*
35",200,180,32,,,,,,,28,,,6," 2,949.00 € ",12.50,#REF!,33.25,Matelas   Renaissance 180 X 200
2376,,,Matelas   Renaissance 200 X 200,,Le Renaissance,Matelas  ,,5,36,," 3,289.00 € ",3760260155338,,,200 X 200,1890,4/5,"Matelas  1600 R.ensaches + 5 CM AVEC PILLO HT
30 cm  RESSORTS ENSACHES+ 5 CM SUR Matelas   MEMORY",1,35,36,"200*200*
30","205*205*
35",200,200,32,,,,,,,35,,,6," 3,289.00 € ",12.50,#REF!,33.25,Matelas   Renaissance 200 X 200
2377,,,Ensemble Renaissance 80 X 200,,Le Renaissance,ENSEMBLE,,5,37,," 1,688.00 € ",3760260155406,3760260150142.00,,80 X 200,756,4/5,Sommier + Matelas  ,2,36,37,"80*200*3
0 /
80*200*1
5","85*205*3
5/85*205
*17",200,80,32,200,80,15,,,,16,20,,6," 1,688.00 € ",8.40,#REF!,59.90,Ensemble Renaissance 80 X 200
2378,,,Ensemble Renaissance 90 X 190,,Le Renaissance,ENSEMBLE,,5,39,," 1,798.00 € ",3760260155390,3760260150135,,90 X 190,818,4/5,Sommier + Matelas  ,2,38,39,"90*190*3
0/
90*190*1
5","95*195*3
5/95*195
*17",190,90,32,190,90,15,,,,17,21,,6," 1,798.00 € ",8.40,#REF!,59.90,Ensemble Renaissance 90 X 190
2379,,,Ensemble Renaissance 90 X 200,,Le Renaissance,ENSEMBLE,,5,40,," 1,888.00 € ",3760260155383,3760260150128,,90 X 200,850,4/5,Sommier + Matelas  ,2,39,40,"90*200*3
0/
90*200*1
5","95*205*3
5/95*205
*17",200,90,32,200,90,15,,,,17,22,,8," 1,888.00 € ",8.40,#REF!,59.90,Ensemble Renaissance 90 X 200
2380,,,Ensemble Renaissance 140 X 190,,Le Renaissance,ENSEMBLE,,5,50,," 2,738.00 € ",3760260155376,3760260150104,,140 X 190,1240,4/5,Sommier + Matelas  ,2,49,50,"140*190*
30 /
140*190*
15","145*195*
35/145*1
95*17",190,140,32,190,140,15,,,,22,27,,8," 2,738.00 € ",15.08,#REF!,69.90,Ensemble Renaissance 140 X 190
2381,,,Ensemble Renaissance 140 X 200,,Le Renaissance,ENSEMBLE,,5,51,," 2,858.00 € ",3760260155369,3760260150098,,140 X 200,1324,4/5,Sommier + Matelas  ,2,50,51,"140*200*
30/
140*200*
15","145*205*
35/145*2
05*17",200,140,32,200,140,15,,,,22,28,,4," 2,858.00 € ",15.08,#REF!,69.90,Ensemble Renaissance 140 X 200
2382,,,Ensemble Renaissance 160 X 200,,Le Renaissance,ENSEMBLE,,5,61,," 3,078.00 € ",3760260155352,3760260150081,,160X 200,1514,4/5,Sommier + Matelas  ,2,60,61,"160*200*
30/
160*200*
15","165*205*
35/165*2
05*17",200,160,32,200,160,15,,,,26,31,,10," 3,278.00 € ",20.08,#REF!,69.90,Ensemble Renaissance 160 X 200
2383,,,Ensemble Renaissance(2x80) X 200,,Le Renaissance,ENSEMBLE,,5,66,," 3,207.00 € ",3760260155352,3760260150142,3760260150142,(2x80)X 200,1514,4/5,double Sommier + Matelas  ,3,65,66,"160*200*
30/
2*(80*200
*15)","165*205*
35/85*20
5*17/85*
205*17",200,160,32,200,80,15,200,80,15,26,16,16,16," 3,407.00 € ",21.16,#REF!,69.90,Ensemble Renaissance(2x80) X 200
2384,,,Ensemble Renaissance(2X90) 180 X 200,,Le Renaissance,ENSEMBLE,,5,71,," 3,787.00 € ",3760260155345,3760260150128,3760260150128,(2X90)180 X 200,1700,4/5,double Sommier + Matelas  ,3,70,71,"180*200*
30 /
2*(90*200
*15)","185*205*
35/95*20
5*17/95*
205*17",200,180,32,200,90,15,200,90,15,28,17.5,17.5,10," 3,787.00 € ",21.16,#REF!,69.90,Ensemble Renaissance(2X90) 180 X 200
2385,,,Ensemble Renaissance (2X100) X 200,,Le Renaissance,ENSEMBLE,,5,77,," 4,178.00 € ",3760260155338,3760260150111,3760260150111,(2X100) X 200,1890,4/5,double Sommier + Matelas  ,3,76,77,"200*200*
30/
2*(100*20
0*15)","205*205*
35/105*2
05*17/10
5*205*17",200,200,32,200,100,15,200,100,15,31,19.5,19.5,4," 4,178.00 € ",21.16,#REF!,69.90,Ensemble Renaissance (2X100) X 200
2001,,,sommier 80 X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,21,, 389.00 € ,3760260150142,,,80 X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,20,21,"80*200*1
5","85*205*1
7",200,80,17,,,,,,,17,,,8, 389.00 € ,3.83,#REF!,29.90 ,sommier 80 X 200
2002,,,sommier 90 X 190,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,22,, 399.00 € ,3760260150135,,,90 X 190,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,21,22,"90*190*1
5","95*195*1
7",190,90,17,,,,,,,21,,,8, 399.00 € ,3.83,#REF!,29.90 ,sommier 90 X 190
2003,,,sommier 90 X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,23,, 419.00 € ,3760260150128,,,90 X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,22,23,"90*200*1
5","95*205*1
7",200,90,17,,,,,,,22,,,6, 419.00 € ,3.83,#REF!,29.90 ,sommier 90 X 200
2004,,,sommier 140 X 190,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,28,, 549.00 € ,3760260150104,,,140 X 190,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,27,28,"140*190*
15","145*195*
17",190,140,17,,,,,,,27,,,6, 549.00 € ,5.91,#REF!,39.90 ,sommier 140 X 190
2005,,,sommier 140 x 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,28,, 569.00 € ,3760260150098,,,140 x 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,27,28,140*200*15,145*205*17,200,140,17,,,,,,,29,,,6, 569.00 € ,5.91,#REF!,39.90 ,sommier 140 x 200
2006,,,sommier 160X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,36,, 649.00 € ,3760260150081,,,160X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,1,35,36,"160*200*
15)","165*205*
17",200,160,17,,,,,,,31,,,8, 649.00 € ,7.58,#REF!,39.90 ,sommier 160X 200
2007,,,sommier (2x80)X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,41,, 778.00 € ,3760260150142,3760260150142,,(2x80)X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,2,40,41,"2*(80*200
*15)","85*205*1
7/85*205
*17",200,80,17,200,80,17,,,,16,16,,6, 778.00 € ,7.66,#REF!,45.00 ,sommier (2x80)X 200
2008,,,sommier (2X90)X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,42,, 838.00 € ,3760260150128,3760260150128,,(2X90)X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,2,42,42,"2*(90*200
*15)","95*205*1
7/95*205
*17",200,90,17,200,90,17,,,,18,17.5,,12, 838.00 € ,7.66,#REF!,45.00 ,sommier (2X90)X 200
2009,,,sommier(2 X100) X 200,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,SOMMIER,"Sommier Gamme Hôtelière
Hauteur:   15 cm",5,46,, 889.00 € ,3760260150111,3760260150111,,(2X100) X 200,,,SOMMIERS HT 15CM AVEC PIEDS 15 CM,2,45,46,"2*(100*20
0*15)","105*205*
17/105*2
05*17",200,100,17,200,100,17,,,,20,19.5,,10, 889.00 € ,7.66,#REF!,45.00 ,sommier(2 X100) X 200
REF TOTAL,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,
