Product ID,Active (0/1),Name *,Categories (x,y,z...),Price tax excluded,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Send me an email when the quantity is under this level,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,Tags (x,y,z...),Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,Available for order (0 = No,1 = Yes),Product available date,Product creation date,Show price (0 = No,1 = Yes),Image URLs (x,y,z...),Image alt texts (x,y,z...),Delete existing images (0 = No,1 = Yes),Feature(Name:Value:Position),Available online only (0 = No,1 = Yes),Condition,Customizable (0 = No,1 = Yes),Uploadable files (0 = No,1 = Yes),Text fields (0 = No,1 = Yes),Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,Acessories  (x,y,z...)

,,NOM,Catégorie,,,"PVP HT",,,,,,,,SKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP 16x Starlight IR Network PTZ Camera","Caméra PTZ, Caméra",,,3750.00,,,,,,,,SD49216DB-HNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH 1U 16PoE 2HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,3750.00,,,,,,,,NVR4216-16P-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"32CH 1.5U 16PoE 4HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,6750.00,,,,,,,,NVR4432-16P-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"32CH 1U 16PoE 2HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,4860.00,,,,,,,,NVR4232-16P-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8 Channel Compact 1U 8PoE Lite H.265 Network Video Recorder","NVR, Vidéosurveillance",,,1290.00,,,,,,,,NVR1108HS-8P-S3/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IP Apartment Door Station","Plaque de rue, Vidéophonie",,,4320.00,,,,,,,,VTO6521F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Enregistreur vidéo réseau Lite 16 canaux 1U 2 disques durs","NVR, Vidéosurveillance",,,1950.00,,,,,,,,NVR2216-4KS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8MP 25x Starlight IR Network PTZ Camera","Caméra PTZ, Caméra",,,7350.00,,,,,,,,SD49825GB-HNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH 1U 2HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,2160.00,,,,,,,,NVR4216-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP 25x Starlight IR 4G Network PTZ Camera","Caméra PTZ, Caméra",,,5100.00,,,,,,,,SD49425DB-HNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"X-Spans 4MP+4MP 25x TiOC WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,7500.00,,,,,,,,SDT4E425-4F-GB-A-PV1-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH Compact 1U 1HDD Lite Network Video Recorder","NVR, Vidéosurveillance",,,1290.00,,,,,,,,NVR2116HS-4KS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH Penta-brid 4K Value/5MP 1U 2HDDs WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,3750.00,,,,,,,,XVR5216AN-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Contrôleur d'accès à reconnaissance faciale","Lecteur biométrique, Lecteur",,,2100.00,,,,,,,,ASI6214S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR Vari-focal Bullet WizSense Network Camera","Caméras IP, caméra",,,1950.00,,,,,,,,IPC-HFW2541T-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR Vari-focal Bullet WizSense Network Camera","Caméras IP, caméra",,,1875.00,,,,,,,,IPC-HFW2541TP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Video Intercom KIT","Kit Villa, Vidéosurveillance",,,3600.00,,,,,,,,KTP05(F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Smart Dual Light TiOC HDCVI Eyeball Camera","Caméra analogique, Caméra ",,,900.00,,,,,,,,HAC-ME1809TQP-A-PV-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH 1U 16PoE 2HDDs Lite Network Video Recorder","NVR, Vidéosurveillance",,,3000.00,,,,,,,,NVR2216-16P-4KS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2M IP VARIFOCAL audio intégré","Caméras IP, caméra",,,1650.00,,,,,,,,IPC-HFW2241T-ZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bullet 8M Audio dual light","Caméras IP, caméra",,,1200.00,,,,,,,,IPC-HFW1839TCP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dome 8M Audio dual light","Caméras IP, caméra",,,1200.00,,,,,,,,IPC-HDW1839TP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP 4x Starlight IR WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,1737.00,,,,,,,,SD1A204DB-GNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP 4x Starlight IR WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,1950.00,,,,,,,,SD1A404DB-GNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Dome fixe IR 2 MP Audio","Caméra analogique, Caméra ",,,292.50,,,,,,,,HAC-HDW1200TRQP-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Full-color Network PT Camera","Caméra PTZ, Caméra",,,900.00,,,,,,,,SD2A200HB-GN-AW-PV-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"32CH 1U 2HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,3000.00,,,,,,,,NVR4232-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K HDCVI Full-Color Active Deterrence Fixed Eyeball Camera Audio","Caméra analogique, Caméra ",,,900.00,,,,,,,,HAC-ME1809THP-A-PV-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8MP IR Vari-focal Bullet WizSense Network Camera","Caméras IP, caméra",,,2175.00,,,,,,,,IPC-HFW2841TP-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP 25x Starlight IR Network PTZ Camera","Caméra PTZ, Caméra",,,4200.00,,,,,,,,SD49225DB-HNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH 1U 4PoE 2HDDs Lite Network Video Recorder","NVR, Vidéosurveillance",,,1710.00,,,,,,,,NVR2204-P-4KS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP WDR IR Mini-Dome Network Camera","Caméras IP, caméra",,,660.00,,,,,,,,IPC-HDBW1430EP-0280B-S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Smart Dual Light Fixed-focal Eyeball WizSense Network Camera","Caméras IP, caméra",,,1260.00,,,,,,,,IPC-HDW2549TP-S-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Compacte HDCVI IR 4K Bullet 8M 80IR","Caméra analogique, Caméra ",,,705.00,,,,,,,,HAC-HFW1801THP-I8-0360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP 25x Starlight IR 4G Network PTZ Camera","Caméra PTZ, Caméra",,,9600.00,,,,,,,,SD49425DB-HNY-GQ-EAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra IP DAHUA Dôme 8MP + IR 30m","Caméras IP, caméra",,,1350.00,,,,,,,,IPC-HDBW2841EP-S-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH Penta-brid 5MP Value/1080P 1U 2HDDs WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,2790.00,,,,,,,,XVR5216AN-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"32CH 1.5U 4HDDs WizSense Network Video Recorder","NVR, Vidéosurveillance",,,5700.00,,,,,,,,NVR4432-EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra réseau WizSense à dôme à focale variable IR 5 MP","Caméras IP, caméra",,,2100.00,,,,,,,,IPC-HDBW2541RP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR Vari-focal Dome WizSense Network Camera","Caméras IP, caméra",,,2100.00,,,,,,,,IPC-HDBW2541RP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"MP Full-color HDCVI Fixed-focal PT Camera","Caméra analogique, Caméra ",,,900.00,,,,,,,,HAC-PT1509AP-A-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra réseau Bullet IR varifocale d'entrée 4MP","Caméras IP, caméra",,,1323.00,,,,,,,,IPC-HFW1431T1P-ZS-2812-S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Smart Dual Light HDCVI Fixed-focal Bullet Camera","Caméra analogique, Caméra ",,,657.00,,,,,,,,HAC-HFW1801TLMP-IL-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Full-color Network PT Camera","Caméra PTZ, Caméra",,,1290.00,,,,,,,,SD2A500HB-GN-AW-PV-0400-S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"IP Indoor Monitor 7"" TFT capacitive touch screen, 1024 × 6","Moniteur, Vidéophonie",,,1063.50,,,,,,,,VTH2621G-WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dome 4M Audio Dual light","Caméras IP, caméra",,,810.00,,,,,,,,IPC-HDW1439VP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bullet 4M Fix Audio","Caméras IP, caméra",,,660.00,,,,,,,,IPC-HFW1430S1P-A-0280B-S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4 Channel Compact 1U 1HDD Lite H.265 Network Video Recorder","NVR, Vidéosurveillance",,,960.00,,,,,,,,NVR1104HS-P-S3/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8MP IR Vari-focal Dome WizSense Network Camera","Caméras IP, caméra",,,2520.00,,,,,,,,IPC-HDBW2841RP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bullet 4M Fix Audio Dual Light","Caméras IP, caméra",,,810.00,,,,,,,,IPC-HFW1439TL1P-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP 5x Smart Dual Light WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,1917.00,,,,,,,,SD3C205DB-GNY-A-PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP 5x Smart Dual Light WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,2160.00,,,,,,,,SD3C405DB-GNY-A-PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR Vari-focal Dome WizSense Network Camera","Caméras IP, caméra",,,1950.00,,,,,,,,IPC-HDBW2541RP-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Bullet Réseau IR Lite Varifocale 8 mégapixels","Caméras IP, caméra",,,2520.00,,,,,,,,IPC-HFW2841TP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Dome Réseau IR Lite Varifocale 8 mégapixels","Caméras IP, caméra",,,2340.00,,,,,,,,IPC-HDBW2841RP-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,," 4 Channel 1080N/720p Cooper 1U 1HDD WizSense ","XVR, Vidéosurveillance",,,1057.50,,,,,,,,XVR1B16-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1867.50,,,,,,,,XVR5108HS-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16 Channel 5M-N/1080P Compact 1U WizSense","XVR, Vidéosurveillance",,,1935.00,,,,,,,,XVR5116HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Vari-focal Dome Netwok Camera","Caméras IP, caméra",,,1080.00,,,,,,,,IPC-HDBW1230RP-ZS-2812-S5-QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1132.50,,,,,,,,XVR5104HS-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH Penta-brid 4K Value/5MP Mini 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,3150.00,,,,,,,,XVR5116H-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP Entry Full-color Fixed-focal Bullet Network Camera","Caméras IP, caméra",,,780.00,,,,,,,,IPC-HFW1439S1P-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Water-proof Junction Box","Boîte de jonction, Accessoire Vidéosurveillance",,,135.00,,,,,,,,PFA130-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Bullet Camera","Caméra analogique, Caméra ",,,558.00,,,,,,,,HAC-HFW1801TP-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Smart Dual Illuminators HDCVI Fixed-focal Eyeball Camera","Caméra analogique, Caméra ",,,657.00,,,,,,,,HAC-HDW1801TP-IL-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Vari-focal Bullet Netwok Camera","Caméras IP, caméra",,,1050.00,,,,,,,,IPC-HFW1230T1P-ZS-2812-S5-QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Full-color HDCVI Quick-to-install Eyeball Camera","Caméra analogique, Caméra ",,,262.50,,,,,,,,HAC-HDW1209TLQP-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP Entry IR Vari-focal Dome Network Camera","Caméras IP, caméra",,,1350.00,,,,,,,,IPC-HDBW1431RP-ZS-2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4 MP Entry Full-color Fixed-focal Eyeball Network Camera","Caméras IP, caméra",,,780.00,,,,,,,,IPC-HDW1439T1P-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6MP Entry Smart Dual Light Fixed-focal Bullet Network Camera","Caméras IP, caméra",,,900.00,,,,,,,,IPC-HFW1639TCP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6MP Entry Smart Dual Light Fixed-focal Dome Network Camera","Caméras IP, caméra",,,900.00,,,,,,,,IPC-HDW1639TP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1185.00,,,,,,,,XVR5108HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 5MP Value/1080P Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,787.50,,,,,,,,XVR5104HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Full-color HDCVI Fixed-focal Bullet Camera","Caméra analogique, Caméra ",,,385.00,,,,,,,,HAC-HFW1509CP-A-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Quick-to-install Eyeball Camera","Caméra analogique, Caméra ",,,558.00,,,,,,,,HAC-HDW1801TLQP-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Fixed-Focal Bullet Netwok Camera","Caméras IP, caméra",,,480.00,,,,,,,,IPC-HFW1230S1P-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Bullet Camera WDR","Caméra analogique, Caméra ",,,513.00,,,,,,,,HAC-HFW1801TP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP DOME Starlight HDCVI Quick-to-install","Caméra analogique, Caméra ",,,375.00,,,,,,,,HAC-HDW1500TLMQP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 1080N/720P Cooper 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,495.00,,,,,,,,XVR1B04-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 5MP Value/1080P Cooper 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,645.00,,,,,,,,XVR1B04H-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8CH Penta-brid 5MP Value/1080P Cooper 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1020.00,,,,,,,,XVR1B08H-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Smart Dual Light HDCVI Fixed-focal Bullet","Caméra analogique, Caméra ",,,450.00,,,,,,,,HAC-HFW1500TLMP-IL-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Starlight HDCVI IR Bullet Camera","Caméra analogique, Caméra ",,,375.00,,,,,,,,HAC-HFW1500TP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Quick-to-install Eyeball Camera","Caméra analogique, Caméra ",,,513.00,,,,,,,,HAC-HDW1801TLQP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Entry IR Fixed-focal Bullet Network Camera","Caméras IP, caméra",,,780.00,,,,,,,,IPC-HFW1530SP-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8Ch Penta-brid 1080N/720p Cooper 1U 1HDD WizSense","XVR, Vidéosurveillance",,,645.00,,,,,,,,XVR1B08-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP Smart Dual Light HDCVI Fixed-focal Eyeball Camera","Caméra analogique, Caméra ",,,450.00,,,,,,,,HAC-HDW1500TLMP-IL-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16 Channels Penta-brid 5M-N/1080P Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1800.00,,,,,,,,XVR1B16H-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP IR HDCVI Fixed-focal Bullet Camera","Caméra analogique, Caméra ",,,165.00,,,,,,,,HAC-B2A21P-U-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP IR HDCVI Fixed-focal Eyeball Camera","Caméra analogique, Caméra ",,,165.00,,,,,,,,HAC-T2A21P-U-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR HDCVI Fixed-focal Bullet Camera","Caméra analogique, Caméra ",,,270.00,,,,,,,,HAC-B2A51P-U-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR HDCVI Fixed-focal Eyeball Camera","Caméra analogique, Caméra ",,,270.00,,,,,,,,HAC-T2A51P-U-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
